* #variable= 3318 #constraint= 6983
+1 ~x1615 +1 x1521 >= 1;
+1 ~x1616 +1 x1462 >= 1;
+1 ~x1616 +1 x1520 >= 1;
+1 ~x1617 +1 x1460 >= 1;
+1 ~x1617 +1 x1519 >= 1;
+1 ~x1618 +1 x1513 >= 1;
+1 ~x1618 +1 x1475 >= 1;
+1 ~x1619 +1 x1513 >= 1;
+1 ~x1619 +1 x1474 >= 1;
+1 ~x1620 +1 x1513 >= 1;
+1 ~x1620 +1 x1541 >= 1;
+1 ~x1621 +1 x1513 >= 1;
+1 ~x1621 +1 x1473 >= 1;
+1 ~x1622 +1 x1513 >= 1;
+1 ~x1622 +1 x1472 >= 1;
+1 ~x1623 +1 x1513 >= 1;
+1 ~x1623 +1 x1471 >= 1;
+1 ~x1624 +1 x1512 >= 1;
+1 ~x1624 +1 x1470 >= 1;
+1 ~x1625 +1 x1512 >= 1;
+1 ~x1625 +1 x1469 >= 1;
+1 ~x1626 +1 x1512 >= 1;
+1 ~x1626 +1 x1542 >= 1;
+1 ~x1627 +1 x1512 >= 1;
+1 ~x1627 +1 x1468 >= 1;
+1 ~x1628 +1 x1512 >= 1;
+1 ~x1628 +1 x1467 >= 1;
+1 ~x1629 +1 x1512 >= 1;
+1 ~x1629 +1 x1466 >= 1;
+1 ~x1630 +1 x1511 >= 1;
+1 ~x1630 +1 x1475 >= 1;
+1 ~x1631 +1 x1511 >= 1;
+1 ~x1631 +1 x1474 >= 1;
+1 ~x1632 +1 x1511 >= 1;
+1 ~x1632 +1 x1541 >= 1;
+1 ~x1633 +1 x1511 >= 1;
+1 ~x1633 +1 x1473 >= 1;
+1 ~x1634 +1 x1511 >= 1;
+1 ~x1634 +1 x1472 >= 1;
+1 ~x1635 +1 x1511 >= 1;
+1 ~x1635 +1 x1471 >= 1;
+1 ~x1636 +1 x1510 >= 1;
+1 ~x1636 +1 x1470 >= 1;
+1 ~x1637 +1 x1510 >= 1;
+1 ~x1637 +1 x1469 >= 1;
+1 ~x1638 +1 x1510 >= 1;
+1 ~x1638 +1 x1542 >= 1;
+1 ~x1639 +1 x1510 >= 1;
+1 ~x1639 +1 x1468 >= 1;
+1 ~x1640 +1 x1510 >= 1;
+1 ~x1640 +1 x1467 >= 1;
+1 ~x1641 +1 x1510 >= 1;
+1 ~x1641 +1 x1466 >= 1;
+1 ~x1642 +1 x1509 >= 1;
+1 ~x1642 +1 x1475 >= 1;
+1 ~x1643 +1 x1509 >= 1;
+1 ~x1643 +1 x1474 >= 1;
+1 ~x1644 +1 x1509 >= 1;
+1 ~x1644 +1 x1541 >= 1;
+1 ~x1645 +1 x1509 >= 1;
+1 ~x1645 +1 x1473 >= 1;
+1 ~x1646 +1 x1509 >= 1;
+1 ~x1646 +1 x1472 >= 1;
+1 ~x1647 +1 x1509 >= 1;
+1 ~x1647 +1 x1471 >= 1;
+1 ~x1648 +1 x1508 >= 1;
+1 ~x1648 +1 x1470 >= 1;
+1 ~x1649 +1 x1508 >= 1;
+1 ~x1649 +1 x1469 >= 1;
+1 ~x1650 +1 x1508 >= 1;
+1 ~x1650 +1 x1542 >= 1;
+1 ~x1651 +1 x1508 >= 1;
+1 ~x1651 +1 x1468 >= 1;
+1 ~x1652 +1 x1508 >= 1;
+1 ~x1652 +1 x1467 >= 1;
+1 ~x1653 +1 x1508 >= 1;
+1 ~x1653 +1 x1466 >= 1;
+1 ~x1654 +1 x1507 >= 1;
+1 ~x1654 +1 x1475 >= 1;
+1 ~x1655 +1 x1507 >= 1;
+1 ~x1655 +1 x1474 >= 1;
+1 ~x1656 +1 x1507 >= 1;
+1 ~x1656 +1 x1541 >= 1;
+1 ~x1657 +1 x1507 >= 1;
+1 ~x1657 +1 x1473 >= 1;
+1 ~x1658 +1 x1507 >= 1;
+1 ~x1658 +1 x1472 >= 1;
+1 ~x1659 +1 x1507 >= 1;
+1 ~x1659 +1 x1471 >= 1;
+1 ~x1660 +1 x1506 >= 1;
+1 ~x1660 +1 x1470 >= 1;
+1 ~x1661 +1 x1506 >= 1;
+1 ~x1661 +1 x1469 >= 1;
+1 ~x1662 +1 x1506 >= 1;
+1 ~x1662 +1 x1542 >= 1;
+1 ~x1663 +1 x1506 >= 1;
+1 ~x1663 +1 x1468 >= 1;
+1 ~x1664 +1 x1506 >= 1;
+1 ~x1664 +1 x1467 >= 1;
+1 ~x1665 +1 x1506 >= 1;
+1 ~x1665 +1 x1466 >= 1;
+1 ~x1666 +1 x1543 >= 1;
+1 ~x1666 +1 x1505 >= 1;
+1 ~x1667 +1 x1465 >= 1;
+1 ~x1667 +1 x1505 >= 1;
+1 ~x1668 +1 x1544 >= 1;
+1 ~x1668 +1 x1504 >= 1;
+1 ~x1669 +1 x1464 >= 1;
+1 ~x1669 +1 x1504 >= 1;
+1 ~x1670 +1 x1546 >= 1;
+1 ~x1670 +1 x1503 >= 1;
+1 ~x1671 +1 x1462 >= 1;
+1 ~x1671 +1 x1503 >= 1;
+1 ~x1672 +1 x1547 >= 1;
+1 ~x1672 +1 x1502 >= 1;
+1 ~x1673 +1 x1461 >= 1;
+1 ~x1673 +1 x1502 >= 1;
+1 ~x1674 +1 x1548 >= 1;
+1 ~x1674 +1 x1501 >= 1;
+1 ~x1675 +1 x1460 >= 1;
+1 ~x1675 +1 x1501 >= 1;
+1 ~x1676 +1 x1543 >= 1;
+1 ~x1676 +1 x1500 >= 1;
+1 ~x1677 +1 x1465 >= 1;
+1 ~x1677 +1 x1500 >= 1;
+1 ~x1678 +1 x1544 >= 1;
+1 ~x1678 +1 x1499 >= 1;
+1 ~x1679 +1 x1464 >= 1;
+1 ~x1679 +1 x1499 >= 1;
+1 ~x1680 +1 x1545 >= 1;
+1 ~x1680 +1 x1498 >= 1;
+1 ~x1681 +1 x1463 >= 1;
+1 ~x1681 +1 x1498 >= 1;
+1 ~x1682 +1 x1546 >= 1;
+1 ~x1682 +1 x1497 >= 1;
+1 ~x1683 +1 x1462 >= 1;
+1 ~x1683 +1 x1497 >= 1;
+1 ~x1684 +1 x1547 >= 1;
+1 ~x1684 +1 x1496 >= 1;
+1 ~x1685 +1 x1461 >= 1;
+1 ~x1685 +1 x1496 >= 1;
+1 ~x1686 +1 x1485 >= 1;
+1 ~x1686 +1 x1473 >= 1;
+1 ~x1687 +1 x1485 >= 1;
+1 ~x1687 +1 x1468 >= 1;
+1 ~x1688 +1 x1495 >= 1;
+1 ~x1688 +1 x1475 >= 1;
+1 ~x1689 +1 x1494 >= 1;
+1 ~x1689 +1 x1474 >= 1;
+1 ~x1690 +1 x1493 >= 1;
+1 ~x1690 +1 x1473 >= 1;
+1 ~x1691 +1 x1492 >= 1;
+1 ~x1691 +1 x1472 >= 1;
+1 ~x1692 +1 x1491 >= 1;
+1 ~x1692 +1 x1471 >= 1;
+1 ~x1693 +1 x1495 >= 1;
+1 ~x1693 +1 x1470 >= 1;
+1 ~x1694 +1 x1494 >= 1;
+1 ~x1694 +1 x1469 >= 1;
+1 ~x1695 +1 x1493 >= 1;
+1 ~x1695 +1 x1468 >= 1;
+1 ~x1696 +1 x1492 >= 1;
+1 ~x1696 +1 x1467 >= 1;
+1 ~x1697 +1 x1491 >= 1;
+1 ~x1697 +1 x1466 >= 1;
+1 ~x1698 +1 x1483 >= 1;
+1 ~x1698 +1 x1471 >= 1;
+1 ~x1699 +1 x1483 >= 1;
+1 ~x1699 +1 x1466 >= 1;
+1 ~x1700 +1 x1482 >= 1;
+1 ~x1700 +1 x1471 >= 1;
+1 ~x1701 +1 x1482 >= 1;
+1 ~x1701 +1 x1466 >= 1;
+1 ~x1702 +1 x1490 >= 1;
+1 ~x1702 +1 x1475 >= 1;
+1 ~x1703 +1 x1489 >= 1;
+1 ~x1703 +1 x1474 >= 1;
+1 ~x1704 +1 x1488 >= 1;
+1 ~x1704 +1 x1541 >= 1;
+1 ~x1705 +1 x1487 >= 1;
+1 ~x1705 +1 x1473 >= 1;
+1 ~x1706 +1 x1486 >= 1;
+1 ~x1706 +1 x1472 >= 1;
+1 ~x1707 +1 x1490 >= 1;
+1 ~x1707 +1 x1470 >= 1;
+1 ~x1708 +1 x1489 >= 1;
+1 ~x1708 +1 x1469 >= 1;
+1 ~x1709 +1 x1488 >= 1;
+1 ~x1709 +1 x1542 >= 1;
+1 ~x1710 +1 x1487 >= 1;
+1 ~x1710 +1 x1468 >= 1;
+1 ~x1711 +1 x1486 >= 1;
+1 ~x1711 +1 x1467 >= 1;
+1 ~x1712 +1 x1480 >= 1;
+1 ~x1712 +1 x1472 >= 1;
+1 ~x1713 +1 x1480 >= 1;
+1 ~x1713 +1 x1467 >= 1;
+1 ~x1714 +1 x1462 >= 1;
+1 ~x1714 +1 x1485 >= 1;
+1 ~x1715 +1 x1465 >= 1;
+1 ~x1715 +1 x1495 >= 1;
+1 ~x1716 +1 x1464 >= 1;
+1 ~x1716 +1 x1494 >= 1;
+1 ~x1717 +1 x1545 >= 1;
+1 ~x1717 +1 x1484 >= 1;
+1 ~x1718 +1 x1462 >= 1;
+1 ~x1718 +1 x1493 >= 1;
+1 ~x1719 +1 x1461 >= 1;
+1 ~x1719 +1 x1492 >= 1;
+1 ~x1720 +1 x1460 >= 1;
+1 ~x1720 +1 x1491 >= 1;
+1 ~x1721 +1 x1460 >= 1;
+1 ~x1721 +1 x1483 >= 1;
+1 ~x1722 +1 x1460 >= 1;
+1 ~x1722 +1 x1482 >= 1;
+1 ~x1723 +1 x1465 >= 1;
+1 ~x1723 +1 x1490 >= 1;
+1 ~x1724 +1 x1464 >= 1;
+1 ~x1724 +1 x1489 >= 1;
+1 ~x1725 +1 x1463 >= 1;
+1 ~x1725 +1 x1488 >= 1;
+1 ~x1726 +1 x1462 >= 1;
+1 ~x1726 +1 x1487 >= 1;
+1 ~x1727 +1 x1461 >= 1;
+1 ~x1727 +1 x1486 >= 1;
+1 ~x1728 +1 x1548 >= 1;
+1 ~x1728 +1 x1481 >= 1;
+1 ~x1729 +1 x1461 >= 1;
+1 ~x1729 +1 x1480 >= 1;
+1 ~x1730 +1 x1473 >= 1;
+1 ~x1731 +1 x1473 >= 1;
+1 ~x1732 +1 x1473 >= 1;
+1 ~x1733 +1 x1473 >= 1;
+1 ~x1734 +1 x1473 >= 1;
+1 ~x1735 +1 x1473 >= 1;
+1 ~x1736 +1 x1472 >= 1;
+1 ~x1737 +1 x1472 >= 1;
+1 ~x1738 +1 x1472 >= 1;
+1 ~x1739 +1 x1472 >= 1;
+1 ~x1740 +1 x1472 >= 1;
+1 ~x1741 +1 x1472 >= 1;
+1 ~x1742 +1 x1471 >= 1;
+1 ~x1743 +1 x1471 >= 1;
+1 ~x1744 +1 x1471 >= 1;
+1 ~x1745 +1 x1471 >= 1;
+1 ~x1746 +1 x1471 >= 1;
+1 ~x1747 +1 x1471 >= 1;
+1 ~x1748 +1 x1468 >= 1;
+1 ~x1749 +1 x1468 >= 1;
+1 ~x1750 +1 x1468 >= 1;
+1 ~x1751 +1 x1468 >= 1;
+1 ~x1752 +1 x1468 >= 1;
+1 ~x1753 +1 x1468 >= 1;
+1 ~x1754 +1 x1467 >= 1;
+1 ~x1755 +1 x1467 >= 1;
+1 ~x1756 +1 x1467 >= 1;
+1 ~x1757 +1 x1467 >= 1;
+1 ~x1758 +1 x1467 >= 1;
+1 ~x1759 +1 x1467 >= 1;
+1 ~x1760 +1 x1466 >= 1;
+1 ~x1761 +1 x1466 >= 1;
+1 ~x1762 +1 x1466 >= 1;
+1 ~x1763 +1 x1466 >= 1;
+1 ~x1764 +1 x1466 >= 1;
+1 ~x1765 +1 x1466 >= 1;
+1 ~x1766 +1 x1459 >= 1;
+1 ~x1766 +1 x1475 >= 1;
+1 ~x1767 +1 x1459 >= 1;
+1 ~x1767 +1 x1474 >= 1;
+1 ~x1768 +1 x1459 >= 1;
+1 ~x1768 +1 x1473 >= 1;
+1 ~x1769 +1 x1459 >= 1;
+1 ~x1769 +1 x1472 >= 1;
+1 ~x1770 +1 x1459 >= 1;
+1 ~x1770 +1 x1471 >= 1;
+1 ~x1771 +1 x1458 >= 1;
+1 ~x1771 +1 x1470 >= 1;
+1 ~x1772 +1 x1458 >= 1;
+1 ~x1772 +1 x1469 >= 1;
+1 ~x1773 +1 x1458 >= 1;
+1 ~x1773 +1 x1468 >= 1;
+1 ~x1774 +1 x1458 >= 1;
+1 ~x1774 +1 x1467 >= 1;
+1 ~x1775 +1 x1458 >= 1;
+1 ~x1775 +1 x1466 >= 1;
+1 ~x1776 +1 x1479 >= 1;
+1 ~x1776 +1 x1475 >= 1;
+1 ~x1777 +1 x1479 >= 1;
+1 ~x1777 +1 x1474 >= 1;
+1 ~x1778 +1 x1479 >= 1;
+1 ~x1778 +1 x1541 >= 1;
+1 ~x1779 +1 x1479 >= 1;
+1 ~x1779 +1 x1473 >= 1;
+1 ~x1780 +1 x1479 >= 1;
+1 ~x1780 +1 x1472 >= 1;
+1 ~x1781 +1 x1479 >= 1;
+1 ~x1781 +1 x1471 >= 1;
+1 ~x1782 +1 x1478 >= 1;
+1 ~x1782 +1 x1470 >= 1;
+1 ~x1783 +1 x1478 >= 1;
+1 ~x1783 +1 x1469 >= 1;
+1 ~x1784 +1 x1478 >= 1;
+1 ~x1784 +1 x1542 >= 1;
+1 ~x1785 +1 x1478 >= 1;
+1 ~x1785 +1 x1468 >= 1;
+1 ~x1786 +1 x1478 >= 1;
+1 ~x1786 +1 x1467 >= 1;
+1 ~x1787 +1 x1478 >= 1;
+1 ~x1787 +1 x1466 >= 1;
+1 ~x1788 +1 x1462 >= 1;
+1 ~x1788 +1 x1457 >= 1;
+1 ~x1789 +1 x1545 >= 1;
+1 ~x1789 +1 x1477 >= 1;
+1 ~x1790 +1 x1463 >= 1;
+1 ~x1790 +1 x1477 >= 1;
+1 ~x1791 +1 x1460 >= 1;
+1 ~x1791 +1 x1456 >= 1;
+1 ~x1792 +1 x1460 >= 1;
+1 ~x1792 +1 x1455 >= 1;
+1 ~x1793 +1 x1548 >= 1;
+1 ~x1793 +1 x1476 >= 1;
+1 ~x1794 +1 x1460 >= 1;
+1 ~x1794 +1 x1476 >= 1;
+1 ~x1795 +1 x1461 >= 1;
+1 ~x1795 +1 x1454 >= 1;
+1 ~x1796 +1 x1539 >= 1;
+1 ~x1796 +1 x1471 >= 1;
+1 ~x1797 +1 x1539 >= 1;
+1 ~x1797 +1 x1466 >= 1;
+1 ~x1798 +1 x1463 >= 1;
+1 ~x1798 +1 x1540 >= 1;
+1 ~x1799 +1 x1460 >= 1;
+1 ~x1799 +1 x1539 >= 1;
+1 ~x1800 +1 x1475 >= 1;
+1 ~x1801 +1 x1475 >= 1;
+1 ~x1802 +1 x1475 >= 1;
+1 ~x1803 +1 x1475 >= 1;
+1 ~x1804 +1 x1475 >= 1;
+1 ~x1805 +1 x1475 >= 1;
+1 ~x1806 +1 x1474 >= 1;
+1 ~x1807 +1 x1474 >= 1;
+1 ~x1808 +1 x1474 >= 1;
+1 ~x1809 +1 x1474 >= 1;
+1 ~x1810 +1 x1474 >= 1;
+1 ~x1811 +1 x1474 >= 1;
+1 ~x1812 +1 x1541 >= 1;
+1 ~x1813 +1 x1541 >= 1;
+1 ~x1814 +1 x1541 >= 1;
+1 ~x1815 +1 x1541 >= 1;
+1 ~x1816 +1 x1541 >= 1;
+1 ~x1817 +1 x1541 >= 1;
+1 ~x1818 +1 x1470 >= 1;
+1 ~x1819 +1 x1470 >= 1;
+1 ~x1820 +1 x1470 >= 1;
+1 ~x1821 +1 x1470 >= 1;
+1 ~x1822 +1 x1470 >= 1;
+1 ~x1823 +1 x1470 >= 1;
+1 ~x1824 +1 x1469 >= 1;
+1 ~x1825 +1 x1469 >= 1;
+1 ~x1826 +1 x1469 >= 1;
+1 ~x1827 +1 x1469 >= 1;
+1 ~x1828 +1 x1469 >= 1;
+1 ~x1829 +1 x1469 >= 1;
+1 ~x1830 +1 x1542 >= 1;
+1 ~x1831 +1 x1542 >= 1;
+1 ~x1832 +1 x1542 >= 1;
+1 ~x1833 +1 x1542 >= 1;
+1 ~x1834 +1 x1542 >= 1;
+1 ~x1835 +1 x1542 >= 1;
+1 ~x1836 +1 x1465 >= 1;
+1 ~x1837 +1 x1465 >= 1;
+1 ~x1838 +1 x1543 >= 1;
+1 ~x1839 +1 x1543 >= 1;
+1 ~x1840 +1 x1464 >= 1;
+1 ~x1841 +1 x1464 >= 1;
+1 ~x1842 +1 x1544 >= 1;
+1 ~x1843 +1 x1544 >= 1;
+1 ~x1844 +1 x1463 >= 1;
+1 ~x1845 +1 x1463 >= 1;
+1 ~x1846 +1 x1545 >= 1;
+1 ~x1847 +1 x1545 >= 1;
+1 ~x1848 +1 x1462 >= 1;
+1 ~x1849 +1 x1462 >= 1;
+1 ~x1850 +1 x1546 >= 1;
+1 ~x1851 +1 x1546 >= 1;
+1 ~x1852 +1 x1461 >= 1;
+1 ~x1853 +1 x1461 >= 1;
+1 ~x1854 +1 x1547 >= 1;
+1 ~x1855 +1 x1547 >= 1;
+1 ~x1856 +1 x1460 >= 1;
+1 ~x1857 +1 x1460 >= 1;
+1 ~x1858 +1 x1548 >= 1;
+1 ~x1859 +1 x1548 >= 1;
+1 ~x1860 +1 x1459 >= 1;
+1 ~x1860 +1 x1541 >= 1;
+1 ~x1861 +1 x1458 >= 1;
+1 ~x1861 +1 x1542 >= 1;
+1 ~x1862 +1 x1546 >= 1;
+1 ~x1862 +1 x1457 >= 1;
+1 ~x1863 +1 x1548 >= 1;
+1 ~x1863 +1 x1456 >= 1;
+1 ~x1864 +1 x1548 >= 1;
+1 ~x1864 +1 x1455 >= 1;
+1 ~x1865 +1 x1547 >= 1;
+1 ~x1865 +1 x1454 >= 1;
+1 ~x1866 +1 x1540 >= 1;
+1 ~x1866 +1 x1541 >= 1;
+1 ~x1867 +1 x1540 >= 1;
+1 ~x1867 +1 x1542 >= 1;
+1 ~x1868 +1 x1546 >= 1;
+1 ~x1868 +1 x1549 >= 1;
+1 ~x1869 +1 x1548 >= 1;
+1 ~x1869 +1 x1550 >= 1;
+1 ~x1870 +1 x1548 >= 1;
+1 ~x1870 +1 x1551 >= 1;
+1 ~x1871 +1 x1547 >= 1;
+1 ~x1871 +1 x1552 >= 1;
+1 ~x1872 +1 x1454 >= 1;
+1 ~x1873 +1 x1455 >= 1;
+1 ~x1874 +1 x1456 >= 1;
+1 ~x1875 +1 x1457 >= 1;
+1 ~x1876 +1 x1458 >= 1;
+1 ~x1877 +1 x1459 >= 1;
+1 ~x1878 +1 x1460 >= 1;
+1 ~x1879 +1 x1461 >= 1;
+1 ~x1880 +1 x1462 >= 1;
+1 ~x1881 +1 x1463 >= 1;
+1 ~x1882 +1 x1464 >= 1;
+1 ~x1883 +1 x1465 >= 1;
+1 ~x1884 +1 x1466 >= 1;
+1 ~x1885 +1 x1467 >= 1;
+1 ~x1886 +1 x1468 >= 1;
+1 ~x1887 +1 x1469 >= 1;
+1 ~x1888 +1 x1470 >= 1;
+1 ~x1889 +1 x1471 >= 1;
+1 ~x1890 +1 x1472 >= 1;
+1 ~x1891 +1 x1473 >= 1;
+1 ~x1892 +1 x1474 >= 1;
+1 ~x1893 +1 x1475 >= 1;
+1 ~x1894 +1 x1476 >= 1;
+1 ~x1895 +1 x1477 >= 1;
+1 ~x1896 +1 x1478 >= 1;
+1 ~x1897 +1 x1479 >= 1;
+1 ~x1898 +1 x1480 >= 1;
+1 ~x1899 +1 x1481 >= 1;
+1 ~x1900 +1 x1482 >= 1;
+1 ~x1901 +1 x1483 >= 1;
+1 ~x1902 +1 x1484 >= 1;
+1 ~x1903 +1 x1485 >= 1;
+1 ~x1904 +1 x1486 >= 1;
+1 ~x1905 +1 x1487 >= 1;
+1 ~x1906 +1 x1488 >= 1;
+1 ~x1907 +1 x1489 >= 1;
+1 ~x1908 +1 x1490 >= 1;
+1 ~x1909 +1 x1491 >= 1;
+1 ~x1910 +1 x1492 >= 1;
+1 ~x1911 +1 x1493 >= 1;
+1 ~x1912 +1 x1494 >= 1;
+1 ~x1913 +1 x1495 >= 1;
+1 ~x1914 +1 x1496 >= 1;
+1 ~x1915 +1 x1497 >= 1;
+1 ~x1916 +1 x1498 >= 1;
+1 ~x1917 +1 x1499 >= 1;
+1 ~x1918 +1 x1500 >= 1;
+1 ~x1919 +1 x1501 >= 1;
+1 ~x1920 +1 x1502 >= 1;
+1 ~x1921 +1 x1503 >= 1;
+1 ~x1922 +1 x1504 >= 1;
+1 ~x1923 +1 x1505 >= 1;
+1 ~x1924 +1 x1506 >= 1;
+1 ~x1925 +1 x1507 >= 1;
+1 ~x1926 +1 x1508 >= 1;
+1 ~x1927 +1 x1509 >= 1;
+1 ~x1928 +1 x1510 >= 1;
+1 ~x1929 +1 x1511 >= 1;
+1 ~x1930 +1 x1512 >= 1;
+1 ~x1931 +1 x1513 >= 1;
+1 ~x1932 +1 x1514 >= 1;
+1 ~x1933 +1 x1515 >= 1;
+1 ~x1934 +1 x1516 >= 1;
+1 ~x1935 +1 x1517 >= 1;
+1 ~x1936 +1 x1518 >= 1;
+1 ~x1937 +1 x1519 >= 1;
+1 ~x1938 +1 x1520 >= 1;
+1 ~x1939 +1 x1521 >= 1;
+1 ~x1940 +1 x1522 >= 1;
+1 ~x1941 +1 x1523 >= 1;
+1 ~x1942 +1 x1524 >= 1;
+1 ~x1943 +1 x1525 >= 1;
+1 ~x1944 +1 x1526 >= 1;
+1 ~x1945 +1 x1527 >= 1;
+1 ~x1946 +1 x1528 >= 1;
+1 ~x1947 +1 x1529 >= 1;
+1 ~x1948 +1 x1530 >= 1;
+1 ~x1949 +1 x1531 >= 1;
+1 ~x1950 +1 x1532 >= 1;
+1 ~x1951 +1 x1533 >= 1;
+1 ~x1952 +1 x1534 >= 1;
+1 ~x1953 +1 x1535 >= 1;
+1 ~x1954 +1 x1536 >= 1;
+1 ~x1955 +1 x1537 >= 1;
+1 ~x1956 +1 x1538 >= 1;
+1 ~x1957 +1 x1539 >= 1;
+1 ~x1958 +1 x1540 >= 1;
+1 ~x1959 +1 x1541 >= 1;
+1 ~x1960 +1 x1542 >= 1;
+1 ~x1961 +1 x1543 >= 1;
+1 ~x1962 +1 x1544 >= 1;
+1 ~x1963 +1 x1545 >= 1;
+1 ~x1964 +1 x1546 >= 1;
+1 ~x1965 +1 x1547 >= 1;
+1 ~x1966 +1 x1548 >= 1;
+1 ~x1967 +1 x1549 >= 1;
+1 ~x1968 +1 x1550 >= 1;
+1 ~x1969 +1 x1551 >= 1;
+1 ~x1970 +1 x1552 >= 1;
+1 ~x1971 +1 x1729 +1 x1871 +1 x1872 >= 1;
+1 ~x1972 +1 x1722 +1 x1870 +1 x1873 >= 1;
+1 ~x1973 +1 x1721 +1 x1869 +1 x1874 >= 1;
+1 ~x1974 +1 x1714 +1 x1868 +1 x1875 >= 1;
+1 ~x1975 +1 x1693 +1 x1694 +1 x1695 +1 x1696 +1 x1697 +1 x1867 +1 x1876 >= 1;
+1 ~x1976 +1 x1688 +1 x1689 +1 x1690 +1 x1691 +1 x1692 +1 x1866 +1 x1877 >= 1;
+1 ~x1977 +1 x1856 +1 x1858 +1 x1878 >= 1;
+1 ~x1978 +1 x1852 +1 x1854 +1 x1879 >= 1;
+1 ~x1979 +1 x1848 +1 x1850 +1 x1880 >= 1;
+1 ~x1980 +1 x1844 +1 x1846 +1 x1881 >= 1;
+1 ~x1981 +1 x1840 +1 x1842 +1 x1882 >= 1;
+1 ~x1982 +1 x1836 +1 x1838 +1 x1883 >= 1;
+1 ~x1983 +1 x1753 +1 x1759 +1 x1765 +1 x1823 +1 x1829 +1 x1835 +1 x1884 >= 1;
+1 ~x1984 +1 x1752 +1 x1758 +1 x1764 +1 x1822 +1 x1828 +1 x1834 +1 x1885 >= 1;
+1 ~x1985 +1 x1751 +1 x1757 +1 x1763 +1 x1821 +1 x1827 +1 x1833 +1 x1886 >= 1;
+1 ~x1986 +1 x1749 +1 x1755 +1 x1761 +1 x1819 +1 x1825 +1 x1831 +1 x1887 >= 1;
+1 ~x1987 +1 x1748 +1 x1754 +1 x1760 +1 x1818 +1 x1824 +1 x1830 +1 x1888 >= 1;
+1 ~x1988 +1 x1735 +1 x1741 +1 x1747 +1 x1805 +1 x1811 +1 x1817 +1 x1889 >= 1;
+1 ~x1989 +1 x1734 +1 x1740 +1 x1746 +1 x1804 +1 x1810 +1 x1816 +1 x1890 >= 1;
+1 ~x1990 +1 x1733 +1 x1739 +1 x1745 +1 x1803 +1 x1809 +1 x1815 +1 x1891 >= 1;
+1 ~x1991 +1 x1731 +1 x1737 +1 x1743 +1 x1801 +1 x1807 +1 x1813 +1 x1892 >= 1;
+1 ~x1992 +1 x1730 +1 x1736 +1 x1742 +1 x1800 +1 x1806 +1 x1812 +1 x1893 >= 1;
+1 ~x1993 +1 x1728 +1 x1799 +1 x1894 >= 1;
+1 ~x1994 +1 x1717 +1 x1798 +1 x1895 >= 1;
+1 ~x1995 +1 x1707 +1 x1708 +1 x1709 +1 x1710 +1 x1711 +1 x1797 +1 x1896 >= 1;
+1 ~x1996 +1 x1702 +1 x1703 +1 x1704 +1 x1705 +1 x1706 +1 x1796 +1 x1897 >= 1;
+1 ~x1997 +1 x1658 +1 x1664 +1 x1795 +1 x1898 >= 1;
+1 ~x1998 +1 x1793 +1 x1899 >= 1;
+1 ~x1999 +1 x1647 +1 x1653 +1 x1792 +1 x1900 >= 1;
+1 ~x2000 +1 x1635 +1 x1641 +1 x1791 +1 x1901 >= 1;
+1 ~x2001 +1 x1789 +1 x1902 >= 1;
+1 ~x2002 +1 x1621 +1 x1627 +1 x1788 +1 x1903 >= 1;
+1 ~x2003 +1 x1685 +1 x1780 +1 x1786 +1 x1904 >= 1;
+1 ~x2004 +1 x1683 +1 x1779 +1 x1785 +1 x1905 >= 1;
+1 ~x2005 +1 x1681 +1 x1778 +1 x1784 +1 x1906 >= 1;
+1 ~x2006 +1 x1679 +1 x1777 +1 x1783 +1 x1907 >= 1;
+1 ~x2007 +1 x1677 +1 x1776 +1 x1782 +1 x1908 >= 1;
+1 ~x2008 +1 x1675 +1 x1770 +1 x1775 +1 x1909 >= 1;
+1 ~x2009 +1 x1673 +1 x1769 +1 x1774 +1 x1910 >= 1;
+1 ~x2010 +1 x1671 +1 x1768 +1 x1773 +1 x1911 >= 1;
+1 ~x2011 +1 x1669 +1 x1767 +1 x1772 +1 x1912 >= 1;
+1 ~x2012 +1 x1667 +1 x1766 +1 x1771 +1 x1913 >= 1;
+1 ~x2013 +1 x1727 +1 x1914 >= 1;
+1 ~x2014 +1 x1726 +1 x1915 >= 1;
+1 ~x2015 +1 x1725 +1 x1916 >= 1;
+1 ~x2016 +1 x1724 +1 x1917 >= 1;
+1 ~x2017 +1 x1723 +1 x1918 >= 1;
+1 ~x2018 +1 x1602 +1 x1720 +1 x1919 >= 1;
+1 ~x2019 +1 x1601 +1 x1719 +1 x1920 >= 1;
+1 ~x2020 +1 x1600 +1 x1718 +1 x1921 >= 1;
+1 ~x2021 +1 x1599 +1 x1716 +1 x1922 >= 1;
+1 ~x2022 +1 x1598 +1 x1715 +1 x1923 >= 1;
+1 ~x2023 +1 x1588 +1 x1589 +1 x1590 +1 x1591 +1 x1592 +1 x1713 +1 x1924 >= 1;
+1 ~x2024 +1 x1583 +1 x1584 +1 x1585 +1 x1586 +1 x1587 +1 x1712 +1 x1925 >= 1;
+1 ~x2025 +1 x1578 +1 x1579 +1 x1580 +1 x1581 +1 x1582 +1 x1701 +1 x1926 >= 1;
+1 ~x2026 +1 x1573 +1 x1574 +1 x1575 +1 x1576 +1 x1577 +1 x1700 +1 x1927 >= 1;
